PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
biPdd,r7/2p2k2/1p1p2q1/pP1PP1n1/P1P2p2/3Q1P2/1BK3p1/7R w - - 0 38,h1g1 g6d3 c2d3 g5f3 g1g2 f3e1,1627,75,92,569,crushing endgame long master,https://lichess.org/kjLRSWvg#75,
gEacS,6k1/p3rpp1/2p2r2/8/4p1q1/P1N1PnP1/1P2RPK1/3Q3R b - - 1 30,f3g5 d1d8 e7e8 d8e8,819,92,91,426,fork mate mateIn2 middlegame short,https://lichess.org/eRAMgN3X/black#60,
eznPj,3r1b1r/pkp3p1/2q1p3/6p1/3P1p2/4BP1P/PP2QP2/1KR3R1 b - - 1 20,c6a6 c1c7 b7c7 e2a6,1705,80,71,33,crushing deflection master middlegame short,https://lichess.org/mf2qGR0m/black#40,
kkPau,6k1/8/8/2Np4/Rp1P4/3KP3/pr6/8 w - - 2 44,c5a6 b2b3 d3e2 b3a3,1540,77,84,75,crushing endgame master masterVsMaster short,https://lichess.org/AotWAnQb#87,
wWmOU,8/p4P2/7k/2p4p/8/P5P1/1Q1r1RK1/4q3 b - - 2 38,e1e4 g2h2 d2b2 f7f8q,1924,75,89,104,advancedPawn crushing defensiveMove endgame master promotion short,https://lichess.org/XjsdqNUq/black#76,
I1gCP,6k1/1p6/8/2p3p1/PrBp4/1P4P1/2P2K2/8 b - - 1 32,b4c4 b3c4 g8g7 f2f3 g7h6 g3g4 h6g6 f3e4 g6f6 e4d5,1979,77,92,3699,crushing endgame hangingPiece quietMove veryLong,https://lichess.org/FgU3uxC3/black#64,
wFDWC,r4rk1/1Qpn1ppp/p7/1Np5/8/4B3/P1q2PPP/RR4K1 w - - 0 18,b5c7 a8b8 c7a6 b8b7,1191,79,86,1536,advantage middlegame short,https://lichess.org/rKoSX785#35,Scotch_Game Scotch_Game_Scotch_Gambit
1It6d,3r3k/5Qp1/p3Nn1p/1p4q1/8/P4bP1/BP3P1P/2r2RK1 w - - 0 24,e6g5 c1f1 g1f1 d8d1,1152,76,96,5336,attraction mate mateIn2 middlegame pillsburysMate short,https://lichess.org/C6oWkbOa#47,
AdehC,5k2/5p2/p6p/p5nP/2R5/2P5/7K/8 w - - 1 50,c4d4 g5f3 h2g3 f3d4,658,109,95,1161,crushing endgame fork master short,https://lichess.org/HHEvzZsF#99,
4EKwV,6k1/8/1p2p2p/p5p1/2n1Pb2/P1P4P/3pK1P1/3Q4 w - - 7 46,g2g3 c4b2 d1b1 d2d1q b1d1 b2d1,1691,76,82,325,advancedPawn crushing endgame exposedKing long promotion,https://lichess.org/ctcKcIdS#91,
